ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
23435						5325			8309	55057	30	2	202						9147		8754												347	84266			8659				10129	5707								51250	3184									5245		133	21	10257	276	26154				10379		259266								23461							3983												10057	90816		5244			7072									9510					133					8309
4953						23045			79026	258	10449	28	334						23779		80216												347	2217			8817				8100	1660								11007	7453									6434		147463	80325	2182	306	3983				1289		581								135							10121												25852	6764		25890			79813									154					3267					10930
6745						79101			659	337	90	70	596						79188		51129												1028	8722			27113				1524	7372								595	10949									5688		347	175	56999	23779	64431				9982		203260								205							140459												64756	65979		84448			55870									51129					55156					352999
6434						6653			771	442334	177	88	966						55612		10513												1471	56898			57758				90627	991								8870	378									1965		558	217	165	7984	178				55384		6387								7915							84896												26053	835		55289			5744									51281					440					785
6434						1462			760	443	9472	104	1052						89845		9743												1808	57658			146923				3913	7027								3726	5306									5683		55859	4329	231	55971	645619				5339		54584								10513							1265												1952	7072		8751			131566									57037					259266					55231
5707						3552			1009	495	240	120	1153						5742		51742												2934	5920			8840				7178	56905								11253	9368									10920		652	240	348	340542	79868				6525		3014								10776							1265												10229	5384		79934			157680									55435					29028					54927
5111						1305			1113	6795	251	125	2012						3553		25966												4035	55972			2947				79901	3422								4792	25813									6632		56967	83464	53335	219738	347902				79026		3148								440							1311												1815	78996		60529			10299									84159					6790					139818
7334						91746			1281	658	259	9472	2066						6720		718												4094	51222			151126				27244	2237								1263	23463									4247		64073	9582	84446	64073	90806				81671		3572								8992							27122												55740	4190		273			4047									26033					148789					159091
6426						55970			1363	672	269	216	2081						1973		843												6038	113791			146760				582	2237								65263	8607									1841		55450	94134	715	79098	8416				10903		3655								596							27122												27336	3964		55107			164									60370					332					11153
2171						7128			1428	60686	288	238	2113						58517		55749												7169	6038			10455				56912	11066								5984	1994									5469		1026	397	716	760	323				84189		11184								51651							1889												3400	11091		320			23270									9530					664					55592
8503						5744			1452	79098	8546	249	2317						6432		1604													283			7043				55650	3014								84826	6574									11130		1264	10550	25966	23261	9716				57530		129401								55847							1979												6453	54441		26225			51711									604					699					9248
23428						6431			8722	54991	405	251	2920						26151		137075													1471			55351				79846	10383								6472	4171									637		1287	414	84909	29775	51309				8714		9055								56892							5169												57534	7745		4059			55120									624					387763					2984
10269						7776			1513	23632	433	269	3176						125476		9685													51310			10455				79864	10197								92305	392									54556		1288	253982	57685	54897	51566				3918		112464								51101							2043												63931	26268		23632			6653									51272					55765					23462
8880									27122	29775	439	284	3306						79101		1213													2318			58475				57728	3838								80746	10614									54939		1298	80162	800	23624	64860				54704		5631								875							2331												4440	4281		79012			4012									330					768					3566
5685									10589	29903	1386	10124	3337						6337		154043													2152			163				23410	1660								10785	6924									8621		1363	481	834	8030	429				56938		11098								10576							10399												124540	79977		29775			125476									60686					9133					132141
51367									1846	973	11016	405	4036						5187		10087													629			79132				54737	10383									5326									6428		54677	155066	858	928	445				493		64285								1081							3416												55746	58508		838			1479									147339					9134					3673
3181									1848	941	523	1386	4043						6431		1075													2628								7372									164									988		2034	563	83879	64866	466				2012		390								1363							3705												4969	10346		79780			47									79173					283316					9358
