ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
219	20	18	847	214	22794	8313	55326	120	419	9447	20	3983	8540	86	195827	633	1111	9429	23456	64746	97	116987	59	10965	26154	10565	1176	23	175	10157	79719	2180	22948	10951	467	25825	55321	6352	1493	633	9582	813	2023	219	705	23456	37	22794	203102	151903	133	51479	23780	16	712	54	695	695	176	226	624	59272	2	18	53947	8714	5243	2246	9590	10195	60496	8728	267	80755	83464	133	8574	47	72	51703	5825	11047	6790	11093	11047	332	3983	27301	51	2028	102	64240	961	38	115	158	3854	101	51129	101	10865	58	11332	11283	326625	3627	19	1958	5243	288	8038	71	53947	153	25841	55450	9212	2181	22794	133	94	857	29974	9639
51129	79814	47	875	347	1236	1591	29028	54443	55210	51378	3983	150	202	55723	23456	274	9156	2180	9429	154	10598	11217	999	8416	55129	587	493	57180	23357	22	25980	87	1111	22948	3491	5349	9134	941	50943	4851	259266	833	2597	93436	65265	6059	80221	54883	123624	26973	205	23780	80830	10061	712	27299	3659	712	8038	8623	999	51703	5243	6833	13	87	5243	2247	378708	128240	10257	11174	585	6833	29028	136	9531	2180	8038	202	36	10598	9212	212	9582	891	10121	80831	240	2926	118	101928378	8208	48	55337	191	5985	154	200316	101	9331	8749	55326	10949	23645	6373	133	4864	596	699	165	87	13	51129	23205	6387	701	214	1236	51129	896	858	25890	157773
604	54443	48	1491	367	990	94234	9532	23204	467	322	150	151	85365	29028	10057	80212	2175	231	109	79026	54522	27063	1281	367	9914	23466	9531	6868	29123	10061	18	240	9276	1111	1843	3855	1058	925	3620	4091	9212	25932	2821	55210	79080	84945	211	2064	118429	1380	347902	80830	406	47	3134	341	3665	713	23452	578	4680	51703	5243	36	51166	133	9590	2260	516	471	6059	56997	8678	27034	6790	10551	9134	8574	241	240	115	333	332	9582	55723	991	10541	374868	55937	3572	27161	10449	1164	48	1991	113146	162494	51129	60489	154	705	9509	23287	23645	5896	4283	183	5062	650	891	23452	81	51166	1820	90956	7852	81602	23780	990	54541	64072	894	56999	541565
694	333	8574	2539	1718	1440	6157	580	259266	468	350	151	189	9949	6790	84696	1009	2189	8574	50808	113146	9551	54443	1290	56967	22794	933	659	1587	1820	58527	21	311	23603	1178	1958	3898	9055	10563	5133	4092	332	54541	5214	83858	898	86	23130	2886	362	162989	51129	11119	528	11332	4063	55843	3394	717	526	29117	1272	134	59	55	19	51129	11217	2263	90135	54976	10061	133	10950	37	7832	196	1727	262	10189	367	226	9824	699	1820	259266	55165	9582	9184	171023	3965	23253	81569	1755	10965	3434	501	23595	56938	9938	9590	595	57538	83543	5896	6157	2633	9590	4170	2022	1066	54829	8751	19	54880	154	1907	10087	329	1440	2171	8326	1499	124	814
4345	115557	208	2729	2194	125111	6205	10950	29028	545	55843	224	196	334	9212	27	1000	55388	239	207	202	148229	10095	2791	771	1048	8555	23466	135	23245	32	6833	366	23406	23603	1959	114569	10874	4283	29126	7040	332	4189		8704	83879	10598	53335	55876	582	3301	375248	11118	55509	87	608	330	3702	718	10409	60314	1534	8644	72	3899	23460	9582	231	3479	699	1019	100	136	771	79777	890	202	3337	157567	347902	367	367	79915	890	55723	6790	4288	151188	51622	57194	5029	597	87	1848	133	6553	51129	54587	56005	10109	51129	10849	338	84832	6157	6181	3620	51129	604	5187	2263	114899	132	23460	79669	186	1959	6789	10384	125111	55640	2776	27123	3899	83987
1604	379	501	2730	2264	3487	6223	90355	10331	80115	438	290	224	10092	891	38	1031	9656	29028	7915	11214	651	81873	4313	1534	9635	22897	8161	55109	637	27034	5825	55843	10063	1633	1960	6282	3488	3514		7041	332	2058		140707	56942	64853	624	3927	649	54788	55139	10384	604	81	608	684	3716	719	602	875	1545	344905	9510	10551	10351	9138	558	3480	701	84916	158	55326	1501	47	595	273	1808	55156	273	397	10564	79000	1058	6790	9212	83540	25852	1644	10396		274	8038	2650	136		54882	1508	805	9474	51129	22856	339	54443	6168	6205	64135	56938	2131	10544	2637	715	375790	10351	1080	54806	1960	7272	56892	3487	51083	3215	27122	350	10423
1028	253982	518	2678	5304	9862		9994	83596	671	8707	335	336	471	9133	23597	1123	4436	9331	56172	11214	51027	55723	6591	55152	404093	55847	1374	55966	671	38	25864	9114	1633	1978	2353	7031	10531	12525		7042	641	2887		790	9718	310	11067	5469	284325	3320	22863	55337	11119	11033		11118	3717	720	23299	51727	1832	525	11096	155465	10350	10095	55859	3481	84811	84916	55326	191	1871	4329	994	27063	10682	29028	10218	9915	9411	6790	1063	9212	641	9232	140459	4216	644		55832	8748	55876	208		23780	4312	813	650	384	9188	443	81611	6181	6223	3659	517	824	54386	3054	800	205	10350	1137	241	2354	7357	6347	9862	10397	3233	6925	81575	5218
8837	84752	155066	728441	2289	339287		898	638	794	54766	346	341	4287	22948	51205	1278	4683	79184	9331	51421	283951	259266	6678	51181	1573	8292	1580	90806	54535	47	22885	597	1663	1981	2354	7033	57110			7046	699	26959		79174	26233	375	79919	9862	79879	3305	8553	834	11118	156		55337	3932	721	649	1382	1846	9212	11095	26289	10350	411	800	3487	27101	1662	25909	203	2066	79796	995	301	2222	479	54443	481	403	51582	4288	332	699	6241	29028	22929	8548		966	255926	3161	219		1820	753	829	665	56938	1846	56033	9582	6205	6714	5698	602	4783	7070	4288	1009	501	4363	1291	347902	94234		961	339287	5351	4775		1820	1267
51232	8702	11161	2744	25803	5709		9134	332	6347	79846	372	346	596	991	2515	1281	5885	147339	576	54882	441150	580	6876	55040	55040	64109	23268	10513	10669	55856	8309	51411	10301	2023	2669	7037	3488			7048	701	9709		2193	55975	545	79820	7703	1795	22824	79365	961	10384	11047		6352	4067	6363	23705	1759	1942	8424	104	213	25890	444	978	3488	890	1736	191	26289	11116	322	983	303	2539	580	11199	330	8623	332	4609	669	701	7298	79572	23626	646		8621	9510	10437	501		55156	23228	6364	669	490	1848	63827	375	6714	23671	6772	604	9314		10403	1300	59344	25890	1413	90806	1647		55573	5709	4860	8839		79870	1351
1490	329	1025	27165		51195		990	641	930	887	495	372	841	8318	171019	1290	5888	896	10018	360	65265	10018	6925	2099	2064	10144	26298	377	1312	86	8310	728	1841	2171	9592		91283			7049	705	10525		51083	7804	637	30850	8396	114793	3312	664	8837	55337	64782		6355	4790	6348	10487	79767	2034	388115	104	213	27	60673	1029	3489	898	1844	10598	216	2593	400	1026	323	3320	581	80833	684	537	641	4893	701	55969		374868	6843	965		8837	11095	132299	226		406	5576	29126	705	490	1958	79370	81873	8295	8295	6890	718	3726		6045	1278	259173	25	8445	51129	2700		8837	51195	58528			168667	63932
